,,,WholeSaler Stock As On Today(in MT)
118,Maharashtra,Kolhapur,1268951,SHREE GURUDATTA AGRO VAKARE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,10.0,2024-01-11,
119,Maharashtra,Kolhapur,199566,Shri Bhogvati Sahakari Kharedi,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),75.44,2024-01-11,
120,Maharashtra,Kolhapur,199566,Shri Bhogvati Sahakari Kharedi,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
121,Maharashtra,Kolhapur,939317,Shri Datta Shetkari Sah sakhar,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),93.855,2024-01-11,
122,Maharashtra,Kolhapur,199576,Shri Hari Ramaji Patil V K S (,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,1.0,2024-01-11,
123,Maharashtra,Kolhapur,1134636,YASHODHAN KSK  CHANDUR,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.825,2024-01-11,
124,Maharashtra,Kolhapur,1393193,YASHWANT SAH TAL KVS PORLE,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),7.65,2024-01-11,
125,Maharashtra,Kolhapur,245279,Yashwant T S K V S Ltd,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),2.025,2024-01-11,
126,Maharashtra,Kolhapur,245279,Yashwant T S K V S Ltd,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,13.0,2024-01-11,
127,Maharashtra,Latur,1150892,AKSHAY FERTILIZER,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),9.955,2024-01-11,
128,Maharashtra,Nagpur,276767,Vcmf Branch Nagpur,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),4.95,2024-01-11,
129,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),50.071,2024-01-11,
130,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,42.0,2024-01-11,
131,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,10.0,2024-01-11,
132,Maharashtra,Nanded,177172,Agarwal Ksk  Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,10.0,2024-01-11,
133,Maharashtra,Nanded,1150894,Akshay Fertilizer Nanded,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,9.0,2024-01-11,
134,Maharashtra,Nanded,542647,Anand S.U.S.S.K.V.S.S.M.Nanded,WHOLESALER,PACS,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),20.115,2024-01-11,
135,Maharashtra,Nanded,334908,Hadoltikar Krushi Seva Kendra ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.03,2024-01-11,
136,Maharashtra,Nanded,554775,Kailash Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),175.14,2024-01-11,
137,Maharashtra,Nanded,554775,Kailash Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,13.5,2024-01-11,
138,Maharashtra,Nanded,554775,Kailash Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,15.0,2024-01-11,
139,Maharashtra,Nanded,1122175,Laxmikant fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),25.09,2024-01-11,
140,Maharashtra,Nanded,177318,Mamde Fertilizers Degloor,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),20.025,2024-01-11,
141,Maharashtra,Nanded,557048,MAMDE KRISHI SEWA KENDRA NANDE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.265,2024-01-11,
142,Maharashtra,Nanded,557048,MAMDE KRISHI SEWA KENDRA NANDE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,21.8,2024-01-11,
143,Maharashtra,Nanded,557048,MAMDE KRISHI SEWA KENDRA NANDE,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,13.75,2024-01-11,
144,Maharashtra,Nanded,589137,PARSEWAR AND COMPANY NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),56.475,2024-01-11,
145,Maharashtra,Nanded,589137,PARSEWAR AND COMPANY NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,16.0,2024-01-11,
146,Maharashtra,Nanded,589137,PARSEWAR AND COMPANY NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,MOP,1.1,2024-01-11,
147,Maharashtra,Nanded,589137,PARSEWAR AND COMPANY NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,10.2,2024-01-11,
148,Maharashtra,Nanded,589137,PARSEWAR AND COMPANY NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,15.05,2024-01-11,
149,Maharashtra,Nanded,177368,Pradeep Trading Company Niwgha,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.015,2024-01-11,
150,Maharashtra,Nanded,177381,SAIKRUPA KVK NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,10.0,2024-01-11,
151,Maharashtra,Nanded,319566,Santkrupa Jaivik Khate Udpadak & Purvatha S.S.Ltd,WHOLESALER,PACS,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),6.03,2024-01-11,
152,Maharashtra,Nanded,319566,Santkrupa Jaivik Khate Udpadak & Purvatha S.S.Ltd,WHOLESALER,PACS,KRIBHCO,KRIBHCO Import,Imported MAP,1.0,2024-01-11,
153,Maharashtra,Nanded,592448,SHRIRAM FERTILIZER  NANDED,WHOLESALER,Other,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),60.075,2024-01-11,
154,Maharashtra,Nanded,592448,SHRIRAM FERTILIZER  NANDED,WHOLESALER,Other,KRIBHCO,KRIBHCO Import,Imported MAP,20.0,2024-01-11,
155,Maharashtra,Nanded,313035,Sunil Krushi Seva Kendra Mukhe,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,30.0,2024-01-11,
156,Maharashtra,Nanded,557973,VISHAL AGENCIES NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),102.195,2024-01-11,
157,Maharashtra,Nanded,557973,VISHAL AGENCIES NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 12-32-16,0.65,2024-01-11,
158,Maharashtra,Nanded,557973,VISHAL AGENCIES NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,12.0,2024-01-11,
159,Maharashtra,Nanded,557973,VISHAL AGENCIES NANDED,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,15.0,2024-01-11,
160,Maharashtra,Nandurbar,605105,JAI MATADI FERTILIZER,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),18.0,2024-01-11,
161,Maharashtra,Nandurbar,118380,Shree Ganesh Agencies,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.58,2024-01-11,
162,Maharashtra,Nandurbar,118384,Shree Shyam Agencies Pvt Ltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),22.5,2024-01-11,
163,Maharashtra,Nandurbar,118398,T.F.Merchant,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),82.89,2024-01-11,
164,Maharashtra,Nashik,166619,Aditya Krishi Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.7,2024-01-11,
165,Maharashtra,Nashik,223444,Amol Sheti Udyog Pvt Ltd,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.85,2024-01-11,
166,Maharashtra,Nashik,344182,Balaji Krushi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),248.4,2024-01-11,
167,Maharashtra,Nashik,344182,Balaji Krushi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),125.93,2024-01-11,
168,Maharashtra,Nashik,344182,Balaji Krushi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,24.0,2024-01-11,
169,Maharashtra,Nashik,344182,Balaji Krushi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,20.0,2024-01-11,
170,Maharashtra,Nashik,533144,Bhushan Fertilizers - Umrane,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),17.55,2024-01-11,
171,Maharashtra,Nashik,223804,Gaurav Krishi Seva Kendra (N. ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),7.2,2024-01-11,
172,Maharashtra,Nashik,166689,Girna Krushi Agency,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.15,2024-01-11,
173,Maharashtra,Nashik,1180666,Gurudatta Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),3.6,2024-01-11,
174,Maharashtra,Nashik,1180666,Gurudatta Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),2.1,2024-01-11,
175,Maharashtra,Nashik,223806,Jadhav AND Company CHANDWAD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,0.15,2024-01-11,
176,Maharashtra,Nashik,166705,Jay Yogeshwar Krishi Seva Kend,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),25.58,2024-01-11,
177,Maharashtra,Nashik,166705,Jay Yogeshwar Krishi Seva Kend,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,5.5,2024-01-11,
178,Maharashtra,Nashik,166705,Jay Yogeshwar Krishi Seva Kend,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,9.0,2024-01-11,
179,Maharashtra,Nashik,166715,Kalwan Taluka Bahuuddeshiya Se,WHOLESALER,PACS,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),57.33,2024-01-11,
180,Maharashtra,Nashik,166715,Kalwan Taluka Bahuuddeshiya Se,WHOLESALER,PACS,KRIBHCO,KRIBHCO Import,Imported 15-15-15,3.0,2024-01-11,
181,Maharashtra,Nashik,223442,Lalwani Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,0.25,2024-01-11,
182,Maharashtra,Nashik,642416,MAULI AGRO CLINIC & AGRO CONSU,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,6.0,2024-01-11,
183,Maharashtra,Nashik,166768,Nashik Jilha Kanda Batata Utpa,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),19.125,2024-01-11,
184,Maharashtra,Nashik,166772,Nashik Taluka Shetkari Sahakar,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),22.275,2024-01-11,
185,Maharashtra,Nashik,166772,Nashik Taluka Shetkari Sahakar,WHOLESALER,District Cooperative Marketing Society,KRIBHCO,KRIBHCO Import,Imported 10-26-26,8.0,2024-01-11,
186,Maharashtra,Nashik,166774,Navnath Krishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.85,2024-01-11,
187,Maharashtra,Nashik,647977,NIFAD TALUKA SHETIMAL VIKRI ,WHOLESALER,PACS,KRIBHCO,KRIBHCO Import,Imported 15-15-15,43.0,2024-01-11,
188,Maharashtra,Nashik,166794,Patel Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,10.25,2024-01-11,
189,Maharashtra,Nashik,166794,Patel Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),2.15,2024-01-11,
190,Maharashtra,Nashik,166812,Rajendra Fertilizer,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),9.585,2024-01-11,
191,Maharashtra,Nashik,166812,Rajendra Fertilizer,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),95.85,2024-01-11,
192,Maharashtra,Nashik,166822,Sachin Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,15.65,2024-01-11,
193,Maharashtra,Nashik,166822,Sachin Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,4.0,2024-01-11,
194,Maharashtra,Nashik,166824,Sachin Fertilizers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),50.0,2024-01-11,
195,Maharashtra,Nashik,166858,Shri Dwarka Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),14.85,2024-01-11,
196,Maharashtra,Nashik,166858,Shri Dwarka Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),7.425,2024-01-11,
197,Maharashtra,Nashik,166858,Shri Dwarka Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,10.0,2024-01-11,
198,Maharashtra,Nashik,166858,Shri Dwarka Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,5.0,2024-01-11,
199,Maharashtra,Nashik,211565,The Maharashtra Agro Industrie,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Import,Imported 15-15-15,13.0,2024-01-11,
200,Maharashtra,Nashik,211565,The Maharashtra Agro Industrie,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,5.0,2024-01-11,
201,Maharashtra,Nashik,211565,The Maharashtra Agro Industrie,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),12.15,2024-01-11,
202,Maharashtra,Nashik,223797,Vasundhara Ferts & Seeds Pvt L,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),37.735,2024-01-11,
203,Maharashtra,Nashik,223797,Vasundhara Ferts & Seeds Pvt L,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported Neem Coated Urea(45 Kg),4.95,2024-01-11,
204,Maharashtra,Nashik,223797,Vasundhara Ferts & Seeds Pvt L,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 12-32-16,5.4,2024-01-11,
205,Maharashtra,Nashik,223797,Vasundhara Ferts & Seeds Pvt L,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,20.0,2024-01-11,
206,Maharashtra,Nashik,223797,Vasundhara Ferts & Seeds Pvt L,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,20.0,2024-01-11,
207,Maharashtra,Nashik,223797,Vasundhara Ferts & Seeds Pvt L,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported DAP,12.95,2024-01-11,
208,Maharashtra,Palghar,347740,Ankur Krushi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,10.0,2024-01-11,
209,Maharashtra,Palghar,224608,Yogi seeds and Agro Center,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,11.75,2024-01-11,
210,Maharashtra,Parbhani,211732,M.A.I.D.C. Ltd,WHOLESALER,PACS,KRIBHCO,KRIBHCO Import,Imported MAP,3.0,2024-01-11,
211,Maharashtra,Parbhani,607487,The Vidarbha Co-Op Marketing F,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 20-20-0-13,19.0,2024-01-11,
212,Maharashtra,Pune,333400,Ambegaon Tq Shetimal Prakriya ,WHOLESALER,PACS,KRIBHCO,KRIBHCO Import,Imported 10-26-26,10.0,2024-01-11,
213,Maharashtra,Pune,298438,Anant Bhajipala Va Shetimal Ss,WHOLESALER,PACS,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),118.8,2024-01-11,
214,Maharashtra,Pune,223911,Anup & Company,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),25.2,2024-01-11,
215,Maharashtra,Pune,255406,Baramati Tal.Sah.K.V.Sangh Ltd,WHOLESALER,PACS,KRIBHCO,KRIBHCO Import,Imported DAP,7.0,2024-01-11,
216,Maharashtra,Pune,680085,SANSKRUTI K S K,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),39.6,2024-01-11,
217,Maharashtra,Pune,311168,Shivshakti Sheti Sahakar,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,4.5,2024-01-11,
218,Maharashtra,Pune,679991,Shri Dattakrupa Krishi Bhandar,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),39.075,2024-01-11,
219,Maharashtra,Pune,679991,Shri Dattakrupa Krishi Bhandar,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,3.0,2024-01-11,
220,Maharashtra,Pune,679991,Shri Dattakrupa Krishi Bhandar,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,10.0,2024-01-11,
221,Maharashtra,Pune,329399,Vikas Agro Agencies,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,10.0,2024-01-11,
222,Maharashtra,Pune,255458,Vikas Agro Ag (Jun),WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,4.75,2024-01-11,
223,Maharashtra,Pune,298444,Vinod Fertiliser,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,4.5,2024-01-11,
224,Maharashtra,Pune,336243,Vishal Fertilisers,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),18.675,2024-01-11,
225,Maharashtra,Pune,255399,Vishalkrishi Seva Kendra,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported MAP,4.75,2024-01-11,
226,Maharashtra,Ratnagiri,587323,PARSEWAR SEEDS & FERT.  SANGLI,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,2.0,2024-01-11,
227,Maharashtra,Sangli,630830,KRUSHNA GODAVARI KBBUVVSS LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),16.02,2024-01-11,
228,Maharashtra,Sangli,630830,KRUSHNA GODAVARI KBBUVVSS LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 10-26-26,34.0,2024-01-11,
229,Maharashtra,Sangli,630830,KRUSHNA GODAVARI KBBUVVSS LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 12-32-16,18.0,2024-01-11,
230,Maharashtra,Sangli,630830,KRUSHNA GODAVARI KBBUVVSS LTD,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Import,Imported 15-15-15,0.45,2024-01-11,
231,Maharashtra,Sangli,224056,Raj Agro Agency.,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),7.425,2024-01-11,
232,Maharashtra,Sangli,224056,Raj Agro Agency.,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Import,Imported 15-15-15,0.75,2024-01-11,
233,Maharashtra,Sangli,272348,Sahyyadri Sah.Kharedi.Vikri.Sa,WHOLESALER,PACS,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.005,2024-01-11,
234,Maharashtra,Sangli,272348,Sahyyadri Sah.Kharedi.Vikri.Sa,WHOLESALER,PACS,KRIBHCO,KRIBHCO Import,Imported 15-15-15,6.75,2024-01-11,
235,Maharashtra,Sangli,339693,Sai Agrotech Sales & Services ,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),2.79,2024-01-11,
236,Maharashtra,Sangli,1260001,SHRI DATT AGRO SALES AND SERVI,WHOLESALER,Private Wholsaler,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),2.025,2024-01-11,
237,Maharashtra,Sangli,272353,Shri Ganapati Zilla Krishi Ao,WHOLESALER,PACS,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),12.06,2024-01-11,
238,Maharashtra,Sangli,224058,Shri Neminath Krishi Seva Kend,WHOLESALER,State Marketing Federation,KRIBHCO,KRIBHCO Hazira,Neem Coated Urea(45 Kg),0.825,2024-01-11,
